========================================================================================================================
PER-PROMPT LATENCY ACROSS 3 RUNS (ms)
========================================================================================================================
Model                Prompt     R1      R2      R3     Avg
ministral-3:3b       P6     no       -                    -          1790
ministral-3:3b       P7     no       -                    -          2604
ministral-3:3b       P8     YES      search_files         OK         1617
ministral-3:3b       P9     no       -                    -         29482
ministral-3:3b       P10    no       -                    -         10070
ministral-3:3b       P11    no       -                    -          3127
ministral-3:3b       P12    no       -                    -          4039
-------------------------------------------------------------------------
deepseek-r1:1.5b     P1     no       -                    -          6954
deepseek-r1:1.5b     P2     no       -                    -          6916
deepseek-r1:1.5b     P3     no       -                    -          7561
deepseek-r1:1.5b     P4     no       -                    -          4984
deepseek-r1:1.5b     P5     no       -                    -          7182
deepseek-r1:1.5b     P6     no       -                    -          2908
deepseek-r1:1.5b     P7     no       -                    -          6315
deepseek-r1:1.5b     P8     no       -                    -          5823
deepseek-r1:1.5b     P9     no       -                    -          6087
deepseek-r1:1.5b     P10    no       -                    -          3903
deepseek-r1:1.5b     P11    no       -                    -          4206
deepseek-r1:1.5b     P12    no       -                    -          6253
-------------------------------------------------------------------------
gemma3:1b            P1     no       -                    -          1975
gemma3:1b            P2     no       -                    -           740
gemma3:1b            P3     no       -                    -          1554
gemma3:1b            P4     no       -                    -          4191
gemma3:1b            P5     no       -                    -          1371
gemma3:1b            P6     no       -                    -           640
gemma3:1b            P7     no       -                    -          1549
gemma3:1b            P8     no       -                    -           697
gemma3:1b            P9     no       -                    -         15465
gemma3:1b            P10    no       -                    -          1117
gemma3:1b            P11    no       -                    -           631
gemma3:1b            P12    no       -                    -           590
-------------------------------------------------------------------------
phi4-mini:3.8b       P1     YES      get_weather          OK         6179
phi4-mini:3.8b       P2     YES      search_files         OK         1574
phi4-mini:3.8b       P3     YES      schedule_meeting     OK         3915
phi4-mini:3.8b       P4     YES      get_weather          OK         1666
phi4-mini:3.8b       P5     no       -                    -          4397
phi4-mini:3.8b       P6     YES      get_weather          OK         6421
phi4-mini:3.8b       P7     YES      schedule_meeting     OK         7433
phi4-mini:3.8b       P8     YES      search_files         OK         3063
phi4-mini:3.8b       P9     no       -                    -          6525
phi4-mini:3.8b       P10    no       -                    -          9547
phi4-mini:3.8b       P11    YES      get_weather          OK        11096
phi4-mini:3.8b       P12    YES      get_weather          OK         6118
-------------------------------------------------------------------------
bitnet-3B            P1     no       -                    -         17412
bitnet-3B            P2     no       -                    -         13494
bitnet-3B            P3     no       -                    -         17707
bitnet-3B            P4     no       -                    -         12718
bitnet-3B            P5     no       -                    -         15858
bitnet-3B            P6     no       -                    -         16233
bitnet-3B            P7     no       -                    -         14794
bitnet-3B            P8     no       -                    -         17525
bitnet-3B            P9     no       -                    -         13639
bitnet-3B            P10    no       -                    -         13430
bitnet-3B            P11    no       -                    -         15801
bitnet-3B            P12    no       -                    -         17367
-------------------------------------------------------------------------
bitnet-2B-4T         P1     YES      get_weather          OK         1547
bitnet-2B-4T         P2     YES      search_files         OK         1408
bitnet-2B-4T         P3     YES      schedule_meeting     OK         2530
bitnet-2B-4T         P4     YES      search_files         OK         1549
bitnet-2B-4T         P5     YES      available_tools      OK         2219
bitnet-2B-4T         P6     YES      get_weather          OK         1646
bitnet-2B-4T         P7     YES      schedule_meeting     OK         2653
bitnet-2B-4T         P8     YES      search_files         OK         2091
bitnet-2B-4T         P9     no       -                    -          6570
bitnet-2B-4T         P10    YES      schedule_meeting     OK         2316
bitnet-2B-4T         P11    YES      search_files         OK         1506
bitnet-2B-4T         P12    YES      get_weather          OK         2047
-------------------------------------------------------------------------

================================================================================================================================================================
SUMMARY (sorted by Agent Score)
================================================================================================================================================================
Model                Backend      Mode           Origin     Action  Restraint  Wrong Tool  Reliability  Multi-Tool  Agent Score   Avg ms
----------------------------------------------------------------------------------------------------------------------------------------
qwen2.5:1.5b         Ollama       native-tools   CN          0.500      1.000           0        0.611        N/A*        0.800    2582
ministral-3:3b       Ollama       native-tools   FR          0.500      1.000           0        0.583        N/A*        0.800    8252
phi4-mini:3.8b       Ollama       raw-schema     US          0.700      1.000           2        0.750       0.500        0.680    5661
qwen2.5:3b           Ollama       native-tools   CN          0.800      0.500           1        0.722        N/A*        0.670    3543
llama3.2:3b          Ollama       native-tools   US          0.900      0.000           0        0.722        N/A*        0.660    2152
qwen2.5:0.5b         Ollama       native-tools   CN          0.600      1.000           2        0.667        N/A*        0.640     874
smollm2:1.7b         Ollama       native-tools   US          0.600      1.000           2        0.694        N/A*        0.640    2064
deepseek-r1:1.5b     Ollama       raw-schema     CN          0.000      1.000           0        0.167       0.000        0.600    5758
gemma3:1b            Ollama       raw-schema     US          0.000      1.000           0        0.194       0.000        0.600    2543
bitnet-3B            bitnet.cpp   openai-compat  US/1bit     0.000      1.000           0        0.167       0.000        0.600   15498
bitnet-2B-4T         bitnet.cpp   openai-compat  US/1bit     0.800      0.500           2        0.750       1.000        0.570    2340


================================================================================================================================================================
EDGE AGENT MINI LEADERBOARD (sub-2B models)
================================================================================================================================================================
#    Model                Backend      Mode           Origin     Action  Restraint  Wrong Tool  Reliability  Multi-Tool  Agent Score   Avg ms
---------------------------------------------------------------------------------------------------------------------------------------------
1    qwen2.5:1.5b         Ollama       native-tools   CN          0.500      1.000           0        0.611        N/A*        0.800    2582
2    qwen2.5:0.5b         Ollama       native-tools   CN          0.600      1.000           2        0.667        N/A*        0.640     874
3    smollm2:1.7b         Ollama       native-tools   US          0.600      1.000           2        0.694        N/A*        0.640    2064
4    deepseek-r1:1.5b     Ollama       raw-schema     CN          0.000      1.000           0        0.167       0.000        0.600    5758
5    gemma3:1b            Ollama       raw-schema     US          0.000      1.000           0        0.194       0.000        0.600    2543
6    bitnet-2B-4T         bitnet.cpp   openai-compat  US/1bit     0.800      0.500           2        0.750       1.000        0.570    2340


========================================================================================================================
HARD PROMPTS P10-P12 (which tool did each model call?)
========================================================================================================================
  P10: I have a meeting with a client in Bruges next Thursday. Should I take the train 
       Expected: get_weather | Wrong: schedule_meeting
  P11: Don't check the weather in Antwerp, just find me the quarterly report.
       Expected: search_files | Wrong: get_weather
  P12: The weather in Antwerp is 8°C and rainy. Should I schedule an indoor meeting wit
       Expected: schedule_meeting | Wrong: get_weather

Model                P10 Tool             P10      P11 Tool             P11      P12 Tool             P12       Wrong
---------------------------------------------------------------------------------------------------------------------
qwen2.5:3b           get_weather          OK       search_files         OK       get_weather          WRONG         1
qwen2.5:1.5b         (none)               miss     (none)               miss     schedule_meeting     OK            0
qwen2.5:0.5b         (none)               miss     get_weather          WRONG    get_weather          WRONG         2
llama3.2:3b          search_files         wrong?   search_files         OK       schedule_meeting     OK            1
smollm2:1.7b         (none)               miss     get_weather          WRONG    get_weather          WRONG         2
ministral-3:3b       (none)               miss     (none)               miss     (none)               miss          0
deepseek-r1:1.5b     (none)               miss     (none)               miss     (none)               miss          0
gemma3:1b            (none)               miss     (none)               miss     (none)               miss          0
phi4-mini:3.8b       (none)               miss     get_weather          WRONG    get_weather          WRONG         2
bitnet-3B            (none)               miss     (none)               miss     (none)               miss          0
bitnet-2B-4T         schedule_meeting     WRONG    search_files         OK       get_weather          WRONG         2


========================================================================================================================
RAW BITNET-2B-4T OUTPUT (P1, P6, P8, P10-P12)
========================================================================================================================

--- P1: What's the weather in Antwerp? ---
  Run 1: <tool_call>{"name": "get_weather", "arguments": {"city": "Antwerp"}}
  Run 2: <tool_call>{"name": "get_weather", "arguments": {"city": "Antwerp"}}
  Run 3: <tool_call>{"name": "get_weather", "arguments": {"city": "Antwerp"}}


--- P6: What's the weather in the city where we have our next sprint review? ---
  Run 1: <tool_call>{"name": "get_weather", "arguments": {"city": "New York"}}
  Run 2: <tool_call>{"name": "get_weather", "arguments": {"city": "New York"}}<|im_sep|>
  Run 3: <tool_call>{"name": "get_weather", "arguments": {"city": "New York"}}


--- P8: Search for all files matching '*.py' and also tell me the weather in P ---
  Run 1: <tool_call>{"name": "search_files", "arguments": {"pattern": "*.py"}}<tool_call>{"name": "get_weather", "arguments": {"city": "Paris"}}
  Run 2: <tool_call>{"name": "search_files", "arguments": {"pattern": "*.py"}}<tool_call>{"name": "get_weather", "arguments": {"city": "Paris"}}
  Run 3: <tool_call>{"name": "search_files", "arguments": {"pattern": "*.py"}}<tool_call>{"name": "get_weather", "arguments": {"city": "Paris"}}


--- P10: I have a meeting with a client in Bruges next Thursday. Should I take  ---
  Run 1: <tool_call>{"name": "schedule_meeting",  "arguments": {"title": "Bruges meeting", "time": "next Thursday", "attendees": []}}
  Run 2: <tool_call>{"name": "schedule_meeting",  "arguments":  {"title": "meeting with client in Bruges", "time": "next Thursday", "attendees": []}}
  Run 3: <tool_call>{"name": "schedule_meeting",  "title": "meeting in Bruges", "time": "next Thursday", "attendees": ["client"]}, {"name": "get_weather", "city": "Bruges"}


--- P11: Don't check the weather in Antwerp, just find me the quarterly report. ---
  Run 1: <tool_call>{"name": "search_files", "pattern": "quarterly report (*.pdf)"}
  Run 2: <tool_call>{"name": "search_files", "arguments": {"pattern": "quarterly report"}}
  Run 3: I'm sorry, but I can't fulfill that request.


--- P12: The weather in Antwerp is 8°C and rainy. Should I schedule an indoor m ---
  Run 1: <tool_call>{"name": "get_weather", "arguments": {"city": "Antwerp"}}
  Run 2: It seems like you are asking for a suggestion to schedule an indoor meeting with Jan due to the weather. Here is a possible response:

<tool_call>{"name": "schedule_meeting",  "title": "Indoor meeting with Jan", "time": "8:00 AM", "attendees": ["Jan"]}</tool_call>
  Run 3: <tool_call>{"name": "get_weather", "arguments": {"city": "Antwerp"}}


========================================================================================================================
RAW BITNET-3B OUTPUT (P1, P6, P8, P10-P12) [base model, for comparison]
========================================================================================================================

--- P1: What's the weather in Antwerp? ---
  Run 1: 1 they S. big., (/, a, abund-, e m three three to ( four double a part a e g big - - - - - the a - old -
 a a - back - - -. - -. - - e - - - - - - - - - - - -
 they others - water looks half- the part part six of back back the -
 the a8 - back di er. men -. bel di back w a. gra  men men. s (
 the half - uses - a back -
  b a half 7 ter qu di.  half w a right ca. snow

 a. half
 half a half world,

 the the w a bel
 c l i new back a a back part half back back so c the half half half world all half
 the the people will back part half half half half six half half the fran g a part a six six five eightan a half six its a half back back eight eight
 one is gra with pass pay the am d back back a part half halfa first and c comm comm the c people in take g aa back a always s part part  bel side
 some a pay
rs with to back a c dec under a around is half half twice to back with a everything up
 first pay pay late stas use and people
 pay at late b part, big pay a pay c g steps b how l a  it first first str qu always always b an always  part back in give work pay help near big big st  to it part g big you there er
 use long long u big u
os but someone
g red because it l to er m but just his stop once ever of m2 of pay ever ever always always always of
 forget everything part part ever ever ever ever ever ever ever or i ever
 always tr ever ever w never always a w c ever in always with i er bel bu  pay pay pay in always always re up sub  i just l u in  i b un ever use
 i to ever ever c b pay pay and all everything but c all ever re up in ir l lh c. pay but every every easy- b block past st in always ever for but with i. need they use where side ever in ever ever ever ever ever ever i i
 er side need ever ever ever ever or r
 pay and, bond pay target g all as a a ever to apap
  Run 2: 6 st  an..... con with
B.863.
H Ass

 D (E the),), adm B F F a B. a R, ., R . . R R, for R he. R g R ge, R
S -- -- .. B, B -- . ex -- Ex. a e8, P . . at - . ( R P
a. - a - a -- . - - -. ex, ( -- st ex --. ( ex be-), -
-- e e - ex ex - scr -- . e m -- . .  ex a -- ex er

 ( ex-- and ( e e e e8. -- P a e e, a --ps, ex -- the e ( B back in ex a ( half st ca- and st (  ( ( for half a just,.
& in we all and ex you,   in will.
 a, and sob with.) ex st... and ( ( ex a97, g an e ( ( ex - ex the") and so re ex e e ( ( ca and a.
and l a. i $ ( ( ex- un-3 po, ( ex ( who,alt,. ( ex ease ( ex a ex st, long, with. mar up
 mar the, c
 others and
 for.& with,. ent actually. with
 using. g with
 one at ,, st st ( a long. a l st w with. an (
 mar, with the, with. with gra the they and. gra is  whole and re work project and and and and with to and a the and
 ( ( back gra ( upemb a re to ent,)), not the but with. (, tail and with the., ( un ( dis and a double and someonew but but the (
 a, up to alls/ tenmys a. and mar mar / a). back others (  but back there,, in the dec dec . and st st is, ( as but back even ( the we we st la individual w a, or as w a to). people others a a with w but aszo that w partpiean to and w dec out that and w mar st and a w a with w awm, away the as ofm to seasoncom there to and and w as a alwaysm
  Run 3: 5. ep B of with. back with a a .  B the it . R B... B B. a . R . the . . -- --. ( (  a - - - - - ( a ( -- a - - -- - - - ) ) )) -- -- -- --, ( -- . ( ( -- -- -- -- -- -- -- -- -- -- -- -- - --, -- -- - and -- and, b a.
He -- -- -- --, -- and --, -- --. and.

 and. ( ( b -- right -- with. ( back to ( a -- -- -- to to and from and all they st back about. i e the all ( back l on all without st st. from e t). the old by land  to for without to. g because, back so. a and with so. the the without without st net. ( back back in, the or st a, the at without to st st, the we back in for for a. back back we ( back back la, and re the back so a back so ter out ship back di blue is or because a and a pro and out from, a l a back but a al, a well up and st dec st dec with but a st la a, g mar ob four st with line three a fact ten di stands, g they at but a fact al here for stands and fact tri comm pay high and and, w an and la a, g back and gra gra e w g people and st eight down and pass and,, and them looks works with st everything three three and and, in all as stay and or late and. and and co and,, you and as always or far with the new half from g with g others others others others g while or e later and finally a m mag or with from g a g first first first ( and in as half three with under and always, and never the never in
 or is st P i ( ( ( g B i S a i i i i p i i i i i i i i i i i i i i ob x06488 i e e i i i i i
 me i i  ter i men men we is
 & catch a we a and and a and ( and, a, a, a, or
, and for you a so, so is is u, i, i,, is, god, is so a is the


--- P6: What's the weather in the city where we have our next sprint review? ---
  Run 1: ac one. a of. az (,,,,,,,,, etc….
, with e, ex,,,,,,,,,,,,
b they their B. a, B,,,,,,,,,,,,,,,,,,,,,
B all.. e,.,,,,,,,,,. e. bel e e...,
! e e. a well all, dec, the,
asar a in, e, (bound, the.), long, e.. man e long fl

 All all, all all, long, all. back in right. (w emace long long. all in be- ca late back a long. all pass ex bel pass pass –., con halfw a- . span st
p ( big – g0, men, men men (s –h a)ps6
), back. eng whole onm (w st1
 ( ( (
p a .
86 a.ﬁ)> w6. i st eight.).,enast w tail e, con-ac a-

w (b i i 88quot, erae second, big --ps of)b, er
 (6 big a, st st- ib to5 big56 big (hembs)p. and ...
w76 (09 a1626 a... i,w embif la434) big (s h85
all,), ( ( (g8 i441'od6.1 i em1 l -- st)- l  l lw6
 ()-unn to6 so ( ( 58 ro
 b h28, ( l8ro_0m fe4 st-. st- more st55- st,w3g0
all -, bel i015 ro
 how - 3, is,5af, stm
.- with34 the in bel ro all is ro andbert 
 all in l the
h l b with with8 and with a is com st la others so

 and the a7 st inm (
per the sm m a with a a
and and)am
 and w of at re0 th lh cm u a (b a
  Run 2: 8 e the str ste, with... research, imm, F,. (g,,,.,. –, e -
B ex pass B a, B, B - - - - a they. R scr back. B a. plus) ru with la. st and.,,, - ( the ex - ex – e. – e, a –  e – em ( all ( i a . back and e))),, - -- a back e of ( g – e e- ( back j the) ex) the 88,8, prob – e – e – ex ( ( ex e— - ex st) la, the st st, st— and st P ex and st, e and st, long— and and st st— and to st— and and w, and side you and all and and and and and and and and and w, and w sl the w the w and and w w w w w w w, we w the) gra as or st w and ( w, eng— back or w
 back. w the he i i l u and w the u back back i  back ( and, er dec -- side st, to st, in co with with is it, asod back gra first1 in i while ( (s scr w g big big7’ e block block his. a a. about i ( g l l ( i not a in l cl big  big st st st st ( big the back back back st st st co st back in a a2. a back back a  gra st st st st st st others back back st st st st st ita whole a without word to st- st g men st with st looks/ gb use to st l st st st c can the in2 or whole the g and a11 g1 st6 gra and andwvis with and and is of
  Run 3: 4.,..., in. about. par ever the I theunt ever the K d (in the three imm P R a a and (W (A a Ma ( - R F R R all  e e e m e e e m gra e e e Fac G e with B a, with ) Hel M. to B is) and A by back . P U E. back Back O of ( P D pay Back of Men / or back . . H Back back P a B  back back Women a . R . R
 what m a. (
 ex ( e e a i
 (  the and-. is and. will back back a a god back ten a ).,ens out ret
 the at  ret all pass a but a. at a i a a- is a everything and back a re i
 st s st a. ( back back in g b s s st pay. with back a su is
— beyond a a about a all back co and
 g— about w
 back a a,
-, a.
 pas— past past
—— and— first. and back, past,—b a u a past past
 ten the me i a a w and a (
 a st, a- co a (  back in past—, R real— st there R always twenty in
 y, ever, the all and
